Py         - Fungsi utama/factory library
cfg        - Config (konfigurasi request)
def        - defaults (konfigurasi default instance)
reqs       - actReqs (Map untuk melacak request aktif)
cnt        - counter (penghitung untuk ID unik)
gid        - genId (generator ID unik)
enc        - encodeURIComponent (alias)
SeriQRecs  - serializeQueryRec (fungsi rekursif serialisasi query)
seriQry    - serializeQuery (fungsi utama serialisasi query)
bUrl       - buildUrl (pembangun URL lengkap)
appFormRec - appendFormRec (fungsi rekursif untuk FormData)
req        - request function (fungsi inti request)
mtd        - method (metode HTTP: GET, POST, dll.)
url        - url (endpoint URL)
data       - data (payload request)
hdr        - headers (objek header)
bdy        - body (payload request untuk fetch)
fRes       - fetch response (objek response dari fetch)
rDat       - responseData (data yang sudah di-parse)
pyRes      - Py response object (objek response standard Py)
err        - error (objek error)
result     - result (hasil dari hook, bisa error atau response)
fName      - fieldName (nama field untuk upload)
key        - key (kunci objek)
val        - value (nilai objek)
pKey       - parentKey (kunci induk untuk struktur bersarang)
parts      - parts (bagian-bagian query string)
pref       - prefix (prefiks kunci)
prms       - params (parameter query)
isAbs      - is absolute (penanda URL absolut)
base       - base (URL dasar)
form       - form (objek FormData)
hooks      - hooks (objek berisi fungsi hooks)
bReq       - beforeRequest (hook sebelum request)
aRes       - afterResponse (hook setelah response)
bErr       - beforeError (hook sebelum error)
isJsn      - isJsonBody (penanda body berupa JSON)
tmoCtrl    - timeoutController (AbortController untuk timeout)
tmoId      - timeoutId (ID dari setTimeout)
sig        - signal (AbortSignal untuk fetch)
fHooks     - finalHooks (gabungan hooks default dan request)
fConfig    - cfgFinal (konfigurasi final untuk request)
cleanupSignal - fungsi untuk membersihkan event listener
